DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2016,18641,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2017,19317,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2018,19560,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2019,20469,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2020,19637,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2021,21460,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2022,22839,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2023,25350,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2024,26999,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2014,20004,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2015,20444,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2016,20968,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2017,21649,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2018,22330,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2019,23090,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2020,23398,b,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2021,24734,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2022,26438,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2023,28233,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2024,29723,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EU27_2020,2025,30849,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2014,22200,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2015,22751,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2016,22931,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2017,23592,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2018,24296,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2019,24823,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2020,25165,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2021,26040,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2022,26811,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2023,28613,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2024,29533,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FI,2025,30383,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2014,23330,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2015,23498,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2016,23879,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2017,24326,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2018,24739,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2019,25691,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2020,26156,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2021,27112,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2022,28584,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2023,30697,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,FR,2024,32371,p,
