DATAFLOW,LAST UPDATE,freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2022,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2023,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2024,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2025,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2014,111,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2015,109,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2016,109,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2017,109,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2018,109,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2019,107,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2020,112,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2021,109,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2022,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2023,103,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2024,102,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2025,101,,
